mes;equipamento;faixa;data;hora;minutos_intervalo;qtd_0a10km;qtd_11a20km;qtd_21a30km;qtd_31a40km;qtd_41a50km;qtd_51a60km;qtd_61a70km;qtd_71a80km;qtd_81a90km;qtd_91a100km;qtd_acimade100km
6;"FS002REC";1;"2020-06-02";14;"16-30";1;7;8;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";14;"31-45";0;11;10;3;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";14;"46-59";0;6;5;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";15;"0-15";1;8;6;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";15;"16-30";0;5;4;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";15;"31-45";0;11;8;1;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";15;"46-59";0;10;2;1;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";16;"0-15";0;2;5;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";16;"16-30";0;8;12;0;1;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";16;"31-45";0;4;4;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";16;"46-59";0;5;7;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";17;"0-15";0;14;5;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";17;"16-30";0;10;8;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";17;"31-45";0;3;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";17;"46-59";0;5;2;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";18;"0-15";2;4;4;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";18;"16-30";2;4;3;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";18;"31-45";1;5;1;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";18;"46-59";0;3;3;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";19;"0-15";1;3;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";19;"16-30";0;5;3;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";19;"31-45";0;4;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";20;"0-15";1;1;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";20;"16-30";2;4;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";20;"31-45";0;0;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-02";20;"46-59";1;0;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";5;"16-30";1;1;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";5;"31-45";0;2;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-03";5;"46-59";0;3;0;0;0;0;0;0;0;0;0
